Page #,2nd Page #,Premiums,Description,unique source ID
1,7,premiums,description,"1894-10-12 00:00:00,lewiston evening journal,1894,sagadahoc county fair"
2,,premiums,,"1881-10-11 00:00:00,oxford democrat,1881,oxford county fair"
