IsApple,name,Presumed Name,Use Name,possible wrong is apple,dups in name,,
TRUE,belle n. franklin,,belle of north franklin,,FALSE,,
FALSE,belle of lancaster,lancaster,lancaster,,FALSE,,
FALSE,belle sue,,bell sue,,FALSE,,
TRUE,belle's favorite,sops of wine,sops of wine,,FALSE,,
TRUE,bellefleur,yellow bellflower,yellow bellflower,,FALSE,,
TRUE,belleflower,yellow bellflower,yellow bellflower,,FALSE,,
TRUE,bellefluer,yellow bellflower,yellow bellflower,,FALSE,,
TRUE,bellfleur,yellow bellflower,yellow bellflower,,FALSE,,
TRUE,bellflower,yellow bellflower,yellow bellflower,,FALSE,,
TRUE,bells early,sops of wine,sops of wine,,FALSE,,
TRUE,bells sweet,sops of wine,sops of wine,,FALSE,,
TRUE,belmont,belmont,belmont,,FALSE,,
TRUE,belmont beauty,,belmont beauty,,FALSE,,
TRUE,ben dares,ben davis,ben davis,,FALSE,,
TRUE,ben davis,ben davis,ben davis,,FALSE,,
TRUE,benjamin,,benjamin,,FALSE,,
FALSE,benne clairglaw,beurre clairgeau,beurre clairgeau,,FALSE,,
TRUE,benonah,benoni,benoni,,FALSE,,
TRUE,benoni,benoni,benoni,,FALSE,,
TRUE,benorie,benoni,benoni,,FALSE,,
FALSE,benson's superfine,beurre superfin,beurre superfin,,FALSE,,
TRUE,benton,benton red,benton red,,FALSE,,
TRUE,benton red,benton red,benton red,,FALSE,,
FALSE,berewe rose,beurre rose,beurre rose,,FALSE,,
FALSE,bergamont sylvange,bergamotte silvange,bergamotte silvange,,FALSE,,
TRUE,betenheines,bietigheimer,bietigheimer,,FALSE,,
TRUE,bethal,bethel,bethel,,FALSE,,
TRUE,bethel,bethel,bethel,,FALSE,,
FALSE,beune d'anjire,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,beureayor,beurre d'anjou,beurre d'anjou,,FALSE,,
FALSE,beurre bass,beurre bosc,buerre bosc,,FALSE,,
FALSE,beurre bos,beurre bosc,beurre bosc,,FALSE,,
FALSE,beurre bosc,beurre bosc,beurre bosc,,TRUE,,
FALSE,beurre clairgeau,beurre clairgeau,beurre clairgeau,,FALSE,,
FALSE,beurre clargeau,beurre clairgeau,beurre clairgeau,,FALSE,,
